"feature","median"
"orf2_p050_pI",0
"orf2_p050_surf",0
"orf2_p050_s_nonpolar_v_polar",0
"orf2_p056_same",1
"orf2_p056_btprop",0
"orf2_p056_flex",0
"orf2_p056_hydro",0
"orf2_p056_pI",0
"orf2_p056_s_nonpolar_v_polar",0
"orf2_p056_s_polar_v_nonpolar",0
"orf2_p060_same",1
"orf2_p060_btprop",0
"orf2_p060_flex",0
"orf2_p060_hydro",0
"orf2_p060_pI",0
"orf2_p060_surf",0
"orf2_p060_s_polar_v_polar",0
"orf2_p061_same",1
"orf2_p061_btprop",0
"orf2_p061_flex",0
"orf2_p061_hydro",0
"orf2_p061_pI",0
"orf2_p061_surf",0
"orf2_p061_s_nonpolar_v_nonpolar",0
"orf2_p070_same",0
"orf2_p070_btprop",0
"orf2_p070_flex",0
"orf2_p070_hydro",0
"orf2_p070_pI",0
"orf2_p070_surf",0
"orf2_p070_s_basic_v_polar",0
"orf2_p070_s_polar_v_basic",0
"orf2_p070_s_polar_v_polar",0
"orf2_p077_same",1
"orf2_p077_btprop",0
"orf2_p077_flex",0
"orf2_p077_hydro",0
"orf2_p077_pI",0
"orf2_p077_surf",0
"orf2_p077_s_nonpolar_v_nonpolar",0
"orf2_p078_same",0
"orf2_p078_btprop",0
"orf2_p078_flex",0
"orf2_p078_hydro",0
"orf2_p078_pI",0
"orf2_p078_surf",0
"orf2_p078_s_nonpolar_v_polar",0
"orf2_p078_s_polar_v_nonpolar",0
"orf2_p080_same",1
"orf2_p080_btprop",0
"orf2_p080_flex",0
"orf2_p080_hydro",0
"orf2_p080_pI",0
"orf2_p080_surf",0
"orf2_p080_s_nonpolar_v_polar",0
"orf2_p080_s_polar_v_nonpolar",0
"orf2_p081_same",1
"orf2_p081_btprop",0
"orf2_p081_flex",0
"orf2_p081_hydro",0
"orf2_p081_pI",0
"orf2_p081_surf",0
"orf2_p081_s_nonpolar_v_polar",0
"orf2_p081_s_polar_v_nonpolar",0
"orf2_p083_same",1
"orf2_p083_btprop",0
"orf2_p083_charge",0
"orf2_p083_flex",0
"orf2_p083_hydro",0
"orf2_p083_pI",0
"orf2_p083_surf",0
"orf2_p083_s_basic_v_polar",0
"orf2_p083_s_polar_v_basic",0
"orf2_p084_same",0
"orf2_p084_btprop",0
"orf2_p084_flex",0
"orf2_p084_hydro",0
"orf2_p084_pI",0
"orf2_p084_surf",0
"orf2_p084_s_nonpolar_v_nonpolar",0
"orf2_p084_s_nonpolar_v_polar",0
"orf2_p084_s_polar_v_nonpolar",0
"orf2_p086_same",1
"orf2_p086_btprop",0
"orf2_p086_flex",0
"orf2_p086_hydro",0
"orf2_p086_pI",0
"orf2_p086_surf",0
"orf2_p086_s_nonpolar_v_nonpolar",0
"orf2_p088_same",0
"orf2_p088_btprop",0
"orf2_p088_flex",0
"orf2_p088_hydro",0
"orf2_p088_pI",0
"orf2_p088_surf",0
"orf2_p088_s_nonpolar_v_nonpolar",0
"orf2_p088_s_nonpolar_v_polar",0
"orf2_p088_s_polar_v_nonpolar",0
"orf2_p088_s_polar_v_polar",0
"orf2_p091_same",1
"orf2_p091_btprop",0
"orf2_p091_flex",0
"orf2_p091_hydro",0
"orf2_p091_pI",0
"orf2_p091_surf",0
"orf2_p091_s_polar_v_nonpolar",0
"orf2_p092_same",1
"orf2_p092_btprop",0
"orf2_p092_flex",0
"orf2_p092_hydro",0
"orf2_p092_pI",0
"orf2_p092_surf",0
"orf2_p092_s_basic_v_basic",0
"orf2_p097_same",1
"orf2_p097_btprop",0
"orf2_p097_flex",0
"orf2_p097_hydro",0
"orf2_p097_pI",0
"orf2_p097_surf",0
"orf2_p097_s_nonpolar_v_nonpolar",0
"orf2_p098_same",0
"orf2_p098_btprop",0
"orf2_p098_flex",0
"orf2_p098_hydro",0
"orf2_p098_pI",0
"orf2_p098_surf",0
"orf2_p098_s_nonpolar_v_nonpolar",1
"orf2_p102_same",1
"orf2_p102_btprop",0
"orf2_p102_flex",0
"orf2_p102_hydro",0
"orf2_p102_pI",0
"orf2_p102_surf",0
"orf2_p102_s_basic_v_basic",0
"orf2_p115_same",1
"orf2_p115_btprop",0
"orf2_p115_flex",0
"orf2_p115_hydro",0
"orf2_p115_pI",0
"orf2_p115_surf",0
"orf2_p115_s_nonpolar_v_nonpolar",0
"orf2_p118_same",1
"orf2_p118_btprop",0
"orf2_p118_flex",0
"orf2_p118_hydro",0
"orf2_p118_pI",0
"orf2_p118_surf",0
"orf2_p118_s_nonpolar_v_polar",0
"orf2_p118_s_polar_v_nonpolar",0
"orf2_p121_same",0
"orf2_p121_btprop",0
"orf2_p121_charge",0
"orf2_p121_flex",0
"orf2_p121_hydro",0
"orf2_p121_pI",0
"orf2_p121_surf",0
"orf2_p121_s_basic_v_polar",0
"orf2_p121_s_polar_v_basic",0
"orf2_p121_s_polar_v_polar",0
"orf2_p132_same",1
"orf2_p132_btprop",0
"orf2_p132_flex",0
"orf2_p132_hydro",0
"orf2_p132_pI",0
"orf2_p132_surf",0
"orf2_p132_s_polar_v_polar",0
"orf2_p139_same",1
"orf2_p139_btprop",0
"orf2_p139_flex",0
"orf2_p139_hydro",0
"orf2_p139_pI",0
"orf2_p139_surf",0
"orf2_p139_s_nonpolar_v_nonpolar",0
"orf2_p141_same",1
"orf2_p141_btprop",0
"orf2_p141_flex",0
"orf2_p141_hydro",0
"orf2_p141_pI",0
"orf2_p141_surf",0
"orf2_p141_s_polar_v_nonpolar",0
"orf2_p174_same",0
"orf2_p174_btprop",0
"orf2_p174_flex",0
"orf2_p174_hydro",0
"orf2_p174_pI",0
"orf2_p174_surf",0
"orf2_p174_s_nonpolar_v_nonpolar",1
"orf2_p175_same",1
"orf2_p175_btprop",0
"orf2_p175_flex",0
"orf2_p175_hydro",0
"orf2_p175_pI",0
"orf2_p175_surf",0
"orf2_p175_s_nonpolar_v_polar",0
"orf2_p177_same",1
"orf2_p177_btprop",0
"orf2_p177_flex",0
"orf2_p177_hydro",0
"orf2_p177_pI",0
"orf2_p177_surf",0
"orf2_p177_s_polar_v_polar",0
"orf2_p182_same",0
"orf2_p182_btprop",0
"orf2_p182_charge",0
"orf2_p182_flex",0
"orf2_p182_hydro",0
"orf2_p182_pI",0
"orf2_p182_surf",0
"orf2_p182_s_acidic_v_nonpolar",0
"orf2_p182_s_basic_v_nonpolar",0
"orf2_p182_s_nonpolar_v_basic",0
"orf2_p182_s_polar_v_nonpolar",0
"orf2_p185_same",0
"orf2_p185_btprop",0
"orf2_p185_flex",0
"orf2_p185_hydro",0
"orf2_p185_pI",0
"orf2_p185_surf",0
"orf2_p185_s_nonpolar_v_polar",0
"orf2_p185_s_polar_v_nonpolar",0
"orf2_p185_s_polar_v_polar",0
"orf2_p186_same",1
"orf2_p186_btprop",0
"orf2_p186_flex",0
"orf2_p186_hydro",0
"orf2_p186_pI",0
"orf2_p186_surf",0
"orf2_p186_s_polar_v_polar",0
"orf2_p187_same",1
"orf2_p187_btprop",0
"orf2_p187_flex",0
"orf2_p187_hydro",0
"orf2_p187_pI",0
"orf2_p187_surf",0
"orf2_p187_s_nonpolar_v_polar",0
"orf2_p187_s_polar_v_nonpolar",0
"orf2_p188_same",0
"orf2_p188_btprop",0
"orf2_p188_charge",0
"orf2_p188_flex",0
"orf2_p188_hydro",0
"orf2_p188_pI",0
"orf2_p188_surf",0
"orf2_p188_s_acidic_v_nonpolar",0
"orf2_p188_s_acidic_v_polar",0
"orf2_p188_s_polar_v_acidic",0
"orf2_p188_s_polar_v_polar",0
"orf2_p189_same",0
"orf2_p189_btprop",0
"orf2_p189_charge",0
"orf2_p189_flex",0
"orf2_p189_hydro",0
"orf2_p189_pI",0
"orf2_p189_surf",0
"orf2_p189_s_basic_v_polar",0
"orf2_p189_s_polar_v_basic",0
"orf2_p190_same",1
"orf2_p190_btprop",0
"orf2_p190_flex",0
"orf2_p190_hydro",0
"orf2_p190_pI",0
"orf2_p190_surf",0
"orf2_p190_s_nonpolar_v_nonpolar",0
"orf2_p191_same",0
"orf2_p191_btprop",0
"orf2_p191_flex",0
"orf2_p191_hydro",0
"orf2_p191_pI",0
"orf2_p191_surf",0
"orf2_p191_s_nonpolar_v_nonpolar",0
"orf2_p191_s_nonpolar_v_polar",0
"orf2_p191_s_polar_v_nonpolar",0
"orf2_p193_same",1
"orf2_p193_btprop",0
"orf2_p193_flex",0
"orf2_p193_hydro",0
"orf2_p193_pI",0
"orf2_p193_surf",0
"orf2_p193_s_nonpolar_v_nonpolar",0
"orf2_p198_same",1
"orf2_p198_btprop",0
"orf2_p198_charge",0
"orf2_p198_flex",0
"orf2_p198_hydro",0
"orf2_p198_pI",0
"orf2_p198_surf",0
"orf2_p198_s_acidic_v_nonpolar",0
"orf2_p198_s_nonpolar_v_acidic",0
"orf2_p198_s_nonpolar_v_polar",0
"orf2_p198_s_polar_v_nonpolar",0
"orf2_p204_same",1
"orf2_p204_btprop",0
"orf2_p204_flex",0
"orf2_p204_hydro",0
"orf2_p204_pI",0
"orf2_p204_surf",0
"orf2_p204_s_polar_v_basic",0
"orf2_p205_same",1
"orf2_p205_btprop",0
"orf2_p205_charge",0
"orf2_p205_flex",0
"orf2_p205_pI",0
"orf2_p205_surf",0
"orf2_p205_s_acidic_v_polar",0
"orf2_p205_s_polar_v_acidic",0
"orf2_p207_same",1
"orf2_p207_btprop",0
"orf2_p207_charge",0
"orf2_p207_flex",0
"orf2_p207_hydro",0
"orf2_p207_pI",0
"orf2_p207_surf",0
"orf2_p207_s_basic_v_polar",0
"orf2_p207_s_polar_v_basic",0
"orf3_p030_same",0
"orf3_p030_btprop",0
"orf3_p030_flex",0
"orf3_p030_hydro",0
"orf3_p030_pI",0
"orf3_p030_surf",0
"orf3_p030_s_nonpolar_v_polar",0
"orf3_p030_s_polar_v_nonpolar",0
"orf3_p030_s_polar_v_polar",0
"orf3_p032_same",1
"orf3_p032_btprop",0
"orf3_p032_flex",0
"orf3_p032_hydro",0
"orf3_p032_pI",0
"orf3_p032_surf",0
"orf3_p032_s_nonpolar_v_polar",0
"orf3_p032_s_polar_v_nonpolar",0
"orf3_p048_same",0
"orf3_p048_btprop",0
"orf3_p048_flex",0
"orf3_p048_hydro",0
"orf3_p048_pI",0
"orf3_p048_surf",0
"orf3_p048_s_nonpolar_v_nonpolar",0
"orf3_p048_s_nonpolar_v_polar",0
"orf3_p048_s_polar_v_nonpolar",0
"orf3_p049_same",1
"orf3_p049_btprop",0
"orf3_p049_flex",0
"orf3_p049_hydro",0
"orf3_p049_pI",0
"orf3_p049_surf",0
"orf3_p049_s_nonpolar_v_nonpolar",0
"orf3_p053_same",1
"orf3_p053_btprop",0
"orf3_p053_flex",0
"orf3_p053_hydro",0
"orf3_p053_pI",0
"orf3_p053_surf",0
"orf3_p053_s_nonpolar_v_nonpolar",0
"orf3_p055_same",0
"orf3_p055_btprop",0
"orf3_p055_flex",0
"orf3_p055_hydro",0
"orf3_p055_pI",0
"orf3_p055_surf",0
"orf3_p055_s_nonpolar_v_polar",0
"orf3_p055_s_polar_v_nonpolar",0
"orf3_p064_same",1
"orf3_p064_btprop",0
"orf3_p064_flex",0
"orf3_p064_hydro",0
"orf3_p064_pI",0
"orf3_p064_s_nonpolar_v_polar",0
"orf3_p064_s_polar_v_nonpolar",0
"orf3_p065_same",0
"orf3_p065_btprop",0
"orf3_p065_charge",0
"orf3_p065_flex",0
"orf3_p065_pI",0
"orf3_p065_surf",0
"orf3_p065_s_acidic_v_polar",0
"orf3_p065_s_polar_v_acidic",0
"orf3_p066_same",1
"orf3_p066_btprop",0
"orf3_p066_flex",0
"orf3_p066_hydro",0
"orf3_p066_pI",0
"orf3_p066_surf",0
"orf3_p066_s_nonpolar_v_nonpolar",0
"orf3_p067_same",1
"orf3_p067_btprop",0
"orf3_p067_flex",0
"orf3_p067_hydro",0
"orf3_p067_pI",0
"orf3_p067_surf",0
"orf3_p067_s_nonpolar_v_polar",0
"orf3_p067_s_polar_v_nonpolar",0
"orf3_p070_same",0
"orf3_p070_btprop",0
"orf3_p070_flex",0
"orf3_p070_hydro",0
"orf3_p070_pI",0
"orf3_p070_surf",0
"orf3_p070_s_nonpolar_v_polar",0
"orf3_p070_s_polar_v_nonpolar",0
"orf3_p071_same",1
"orf3_p071_btprop",0
"orf3_p071_charge",0
"orf3_p071_flex",0
"orf3_p071_hydro",0
"orf3_p071_pI",0
"orf3_p071_surf",0
"orf3_p071_s_basic_v_nonpolar",0
"orf3_p071_s_nonpolar_v_basic",0
"orf3_p079_same",0
"orf3_p079_btprop",0
"orf3_p079_charge",0
"orf3_p079_flex",0
"orf3_p079_hydro",0
"orf3_p079_pI",-0.01
"orf3_p079_surf",-15
"orf3_p079_s_basic_v_basic",0
"orf3_p079_s_basic_v_polar",0
"orf3_p079_s_polar_v_basic",0
"orf3_p079_s_polar_v_polar",0
"orf3_p083_same",0
"orf3_p083_btprop",0
"orf3_p083_charge",0
"orf3_p083_flex",-0.01
"orf3_p083_hydro",0
"orf3_p083_pI",0
"orf3_p083_surf",0
"orf3_p083_s_acidic_v_polar",0
"orf3_p083_s_polar_v_acidic",0
"orf3_p083_s_polar_v_polar",0
"orf3_p084_same",1
"orf3_p084_btprop",0
"orf3_p084_flex",0
"orf3_p084_pI",0
"orf3_p084_surf",0
"orf3_p084_s_acidic_v_acidic",0
"orf3_p085_same",0
"orf3_p085_btprop",0
"orf3_p085_charge",0
"orf3_p085_flex",0
"orf3_p085_hydro",0
"orf3_p085_pI",0
"orf3_p085_surf",0
"orf3_p085_s_acidic_v_polar",0
"orf3_p085_s_polar_v_acidic",0
"orf3_p085_s_polar_v_polar",0
"orf3_p089_same",1
"orf3_p089_btprop",0
"orf3_p089_flex",0
"orf3_p089_pI",0
"orf3_p089_surf",0
"orf3_p089_s_acidic_v_acidic",0
"orf3_p091_same",1
"orf3_p091_btprop",0
"orf3_p091_charge",0
"orf3_p091_flex",0
"orf3_p091_hydro",0
"orf3_p091_pI",0
"orf3_p091_surf",0
"orf3_p091_s_acidic_v_nonpolar",0
"orf3_p091_s_nonpolar_v_acidic",0
"orf3_p093_same",0
"orf3_p093_btprop",-0.01
"orf3_p093_flex",0
"orf3_p093_hydro",0
"orf3_p093_pI",0
"orf3_p093_surf",0
"orf3_p093_s_nonpolar_v_nonpolar",1
"orf3_p096_same",1
"orf3_p096_btprop",0
"orf3_p096_flex",0
"orf3_p096_hydro",0
"orf3_p096_pI",0
"orf3_p096_surf",0
"orf3_p096_s_nonpolar_v_polar",0
"orf3_p096_s_polar_v_nonpolar",0
"orf3_p100_same",0
"orf3_p100_btprop",0
"orf3_p100_flex",0
"orf3_p100_hydro",0
"orf3_p100_pI",0
"orf3_p100_surf",0
"orf3_p100_s_polar_v_polar",1
"orf3_p105_same",1
"orf3_p105_btprop",0
"orf3_p105_flex",0
"orf3_p105_hydro",0
"orf3_p105_pI",0
"orf3_p105_surf",0
"orf3_p105_s_nonpolar_v_polar",0
"orf3_p105_s_polar_v_nonpolar",0
"orf3_p107_same",1
"orf3_p107_btprop",0
"orf3_p107_flex",0
"orf3_p107_hydro",0
"orf3_p107_pI",0
"orf3_p107_surf",0
"orf3_p107_s_nonpolar_v_nonpolar",0
"orf3_p120_same",1
"orf3_p120_btprop",0
"orf3_p120_flex",0
"orf3_p120_hydro",0
"orf3_p120_pI",0
"orf3_p120_s_nonpolar_v_polar",0
"orf3_p120_s_polar_v_nonpolar",0
"orf3_p128_same",1
"orf3_p128_btprop",0
"orf3_p128_flex",0
"orf3_p128_hydro",0
"orf3_p128_pI",0
"orf3_p128_surf",0
"orf3_p128_s_polar_v_nonpolar",0
"orf3_p134_same",0
"orf3_p134_btprop",-0.01
"orf3_p134_charge",0
"orf3_p134_flex",0
"orf3_p134_hydro",0
"orf3_p134_pI",-0.31
"orf3_p134_surf",10
"orf3_p134_s_acidic_v_basic",0
"orf3_p134_s_acidic_v_nonpolar",0
"orf3_p134_s_acidic_v_polar",0
"orf3_p134_s_nonpolar_v_polar",0
"orf3_p135_same",1
"orf3_p135_btprop",0
"orf3_p135_flex",0
"orf3_p135_hydro",0
"orf3_p135_pI",0
"orf3_p135_surf",0
"orf3_p135_s_nonpolar_v_nonpolar",0
"orf3_p139_same",1
"orf3_p139_btprop",0
"orf3_p139_charge",0
"orf3_p139_flex",0
"orf3_p139_hydro",0
"orf3_p139_pI",0
"orf3_p139_surf",0
"orf3_p139_s_basic_v_nonpolar",0
"orf3_p139_s_nonpolar_v_basic",0
"orf3_p140_same",0
"orf3_p140_btprop",0
"orf3_p140_charge",0
"orf3_p140_flex",0
"orf3_p140_hydro",0
"orf3_p140_pI",0
"orf3_p140_surf",0
"orf3_p140_s_basic_v_nonpolar",0
"orf3_p140_s_basic_v_polar",0
"orf3_p140_s_nonpolar_v_basic",0
"orf3_p140_s_nonpolar_v_nonpolar",0
"orf3_p141_same",1
"orf3_p141_btprop",0
"orf3_p141_charge",0
"orf3_p141_flex",0
"orf3_p141_hydro",0
"orf3_p141_pI",0
"orf3_p141_surf",0
"orf3_p141_s_basic_v_basic",0
"orf3_p143_same",0
"orf3_p143_btprop",0
"orf3_p143_flex",0
"orf3_p143_hydro",0
"orf3_p143_pI",0
"orf3_p143_surf",0
"orf3_p143_s_nonpolar_v_nonpolar",1
"orf3_p147_same",1
"orf3_p147_btprop",0
"orf3_p147_charge",0
"orf3_p147_flex",0
"orf3_p147_hydro",0
"orf3_p147_pI",0
"orf3_p147_surf",0
"orf3_p147_s_acidic_v_nonpolar",0
"orf3_p147_s_nonpolar_v_acidic",0
"orf3_p151_same",1
"orf3_p151_btprop",0
"orf3_p151_charge",0
"orf3_p151_flex",0
"orf3_p151_pI",0
"orf3_p151_surf",0
"orf3_p151_s_polar_v_acidic",0
"orf3_p153_same",0
"orf3_p153_btprop",0.24
"orf3_p153_flex",0.063
"orf3_p153_hydro",-0.1
"orf3_p153_pI",0
"orf3_p153_surf",0
"orf3_p153_s_nonpolar_v_nonpolar",0
"orf3_p153_s_nonpolar_v_polar",0
"orf3_p153_s_polar_v_nonpolar",0
"orf3_p156_same",1
"orf3_p156_btprop",0
"orf3_p156_flex",0
"orf3_p156_hydro",0
"orf3_p156_pI",0
"orf3_p156_surf",0
"orf3_p156_s_nonpolar_v_polar",0
"orf3_p156_s_polar_v_nonpolar",0
"orf3_p157_same",1
"orf3_p157_btprop",0
"orf3_p157_charge",0
"orf3_p157_flex",0
"orf3_p157_hydro",0
"orf3_p157_pI",0
"orf3_p157_surf",0
"orf3_p157_s_basic_v_polar",0
"orf3_p158_same",1
"orf3_p158_btprop",0
"orf3_p158_flex",0
"orf3_p158_hydro",0
"orf3_p158_pI",0
"orf3_p158_surf",0
"orf3_p158_s_basic_v_polar",0
"orf3_p158_s_polar_v_basic",0
"orf3_p162_same",1
"orf3_p162_btprop",0
"orf3_p162_flex",0
"orf3_p162_hydro",0
"orf3_p162_pI",0
"orf3_p162_surf",0
"orf3_p162_s_polar_v_polar",0
"orf3_p165_same",1
"orf3_p165_btprop",0
"orf3_p165_flex",0
"orf3_p165_hydro",0
"orf3_p165_pI",0
"orf3_p165_surf",0
"orf3_p165_s_nonpolar_v_polar",0
"orf3_p165_s_polar_v_nonpolar",0
"orf3_p173_same",1
"orf3_p173_btprop",0
"orf3_p173_flex",0
"orf3_p173_hydro",0
"orf3_p173_pI",0
"orf3_p173_surf",0
"orf3_p173_s_nonpolar_v_nonpolar",0
"orf4_p032_same",1
"orf4_p032_btprop",0
"orf4_p032_flex",0
"orf4_p032_hydro",0
"orf4_p032_pI",0
"orf4_p032_s_nonpolar_v_polar",0
"orf4_p032_s_polar_v_nonpolar",0
"orf4_p035_same",0
"orf4_p035_btprop",0
"orf4_p035_charge",0
"orf4_p035_flex",0
"orf4_p035_hydro",0
"orf4_p035_pI",0
"orf4_p035_surf",0
"orf4_p035_s_acidic_v_basic",0
"orf4_p035_s_basic_v_acidic",0
"orf4_p035_s_polar_v_acidic",0
"orf4_p035_s_polar_v_basic",0
"orf4_p040_same",0
"orf4_p040_btprop",0
"orf4_p040_flex",0
"orf4_p040_hydro",0
"orf4_p040_pI",0
"orf4_p040_s_nonpolar_v_polar",0
"orf4_p040_s_polar_v_nonpolar",0
"orf4_p042_same",1
"orf4_p042_btprop",0
"orf4_p042_flex",0
"orf4_p042_hydro",0
"orf4_p042_pI",0
"orf4_p042_s_nonpolar_v_polar",0
"orf4_p042_s_polar_v_nonpolar",0
"orf4_p043_same",0
"orf4_p043_btprop",0
"orf4_p043_flex",0
"orf4_p043_hydro",0
"orf4_p043_pI",0
"orf4_p043_surf",0
"orf4_p043_s_nonpolar_v_polar",0
"orf4_p043_s_polar_v_nonpolar",0
"orf4_p044_same",0
"orf4_p044_btprop",0
"orf4_p044_flex",0
"orf4_p044_hydro",0
"orf4_p044_pI",0
"orf4_p044_surf",0
"orf4_p044_s_nonpolar_v_polar",0
"orf4_p044_s_polar_v_nonpolar",0
"orf4_p045_same",1
"orf4_p045_btprop",0
"orf4_p045_flex",0
"orf4_p045_hydro",0
"orf4_p045_pI",0
"orf4_p045_surf",0
"orf4_p045_s_nonpolar_v_nonpolar",0
"orf4_p050_same",1
"orf4_p050_btprop",0
"orf4_p050_flex",0
"orf4_p050_hydro",0
"orf4_p050_pI",0
"orf4_p050_surf",0
"orf4_p050_s_nonpolar_v_nonpolar",0
"orf4_p056_same",0
"orf4_p056_btprop",0
"orf4_p056_charge",0
"orf4_p056_flex",0.015
"orf4_p056_hydro",0
"orf4_p056_pI",0
"orf4_p056_surf",0
"orf4_p056_s_nonpolar_v_basic",0
"orf4_p056_s_nonpolar_v_polar",0
"orf4_p056_s_polar_v_nonpolar",0
"orf4_p056_s_polar_v_polar",0
"orf4_p057_same",0
"orf4_p057_btprop",0
"orf4_p057_charge",0
"orf4_p057_flex",0
"orf4_p057_hydro",0
"orf4_p057_pI",0
"orf4_p057_surf",0
"orf4_p057_s_acidic_v_polar",0
"orf4_p057_s_polar_v_acidic",0
"orf4_p057_s_polar_v_polar",0
"orf4_p058_same",0
"orf4_p058_btprop",0
"orf4_p058_flex",0
"orf4_p058_hydro",0
"orf4_p058_pI",0
"orf4_p058_surf",0
"orf4_p058_s_nonpolar_v_polar",0
"orf4_p058_s_polar_v_nonpolar",0
"orf4_p059_same",1
"orf4_p059_btprop",0
"orf4_p059_flex",0
"orf4_p059_hydro",0
"orf4_p059_pI",0
"orf4_p059_surf",0
"orf4_p059_s_nonpolar_v_polar",0
"orf4_p059_s_polar_v_nonpolar",0
"orf4_p060_same",1
"orf4_p060_btprop",0
"orf4_p060_flex",0
"orf4_p060_hydro",0
"orf4_p060_pI",0
"orf4_p060_surf",0
"orf4_p060_s_polar_v_nonpolar",0
"orf4_p061_same",0
"orf4_p061_btprop",0
"orf4_p061_charge",0
"orf4_p061_flex",0
"orf4_p061_hydro",0
"orf4_p061_pI",0
"orf4_p061_surf",0
"orf4_p061_s_acidic_v_nonpolar",0
"orf4_p061_s_acidic_v_polar",0
"orf4_p061_s_nonpolar_v_acidic",0
"orf4_p061_s_nonpolar_v_polar",0
"orf4_p062_same",1
"orf4_p062_btprop",0
"orf4_p062_flex",0
"orf4_p062_hydro",0
"orf4_p062_pI",0
"orf4_p062_surf",0
"orf4_p062_s_nonpolar_v_nonpolar",0
"orf4_p062_s_nonpolar_v_polar",0
"orf4_p063_same",0
"orf4_p063_btprop",0
"orf4_p063_flex",0
"orf4_p063_hydro",0
"orf4_p063_pI",0
"orf4_p063_surf",-15
"orf4_p063_s_nonpolar_v_nonpolar",0
"orf4_p063_s_nonpolar_v_polar",0
"orf4_p063_s_polar_v_nonpolar",0
"orf4_p066_same",0
"orf4_p066_btprop",0.03
"orf4_p066_flex",0
"orf4_p066_hydro",-0.1
"orf4_p066_pI",0
"orf4_p066_surf",0
"orf4_p066_s_nonpolar_v_polar",0
"orf4_p066_s_polar_v_nonpolar",0
"orf4_p066_s_polar_v_polar",0
"orf4_p067_same",0
"orf4_p067_btprop",0
"orf4_p067_charge",0
"orf4_p067_flex",0.002
"orf4_p067_hydro",-0.8
"orf4_p067_pI",0.62
"orf4_p067_surf",30
"orf4_p067_s_basic_v_nonpolar",0
"orf4_p067_s_basic_v_polar",0
"orf4_p067_s_nonpolar_v_basic",0
"orf4_p071_same",1
